Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
528,graduated,,Yes,$0,"$80,000","$80,000","$80,000","$80,000","$80,000",None,None,,Male,Male,Black or African American,Black or African American,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,120+ days,120+ days,,Junior Software Engineer,Junior Software Engineer
529,did not finish,early drop / bad fit,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
541,graduated,,Yes,"$37,000","$90,000","$53,000","$90,000","$53,000","$53,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
544,graduated,,Yes,"$24,000","$65,000","$41,000","$65,000","$41,000","$41,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,DevOps Engineer,DevOps Engineer
546,graduated,,Yes,"$65,000","$73,000","$8,000","$73,000","$8,000",,Repeated one module,Repeated one module,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,120+ days,120+ days,,Software Developer,Software Developer
548,graduated,,Yes,"$82,000","$70,000","-$12,000","$70,000","-$12,000",,None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,,,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,I received an offer before graduation,I received an offer before graduation,,Assistant Instructor,Assistant Instructor
555,graduated,,Yes,"$50,000","$73,000","$23,000","$73,000","$23,000","$23,000",None,None,,Female,Female,White,White,,No,No,,Master's degree,Master's degree,,I received an offer before graduation,I received an offer before graduation,,Software Developer,Software Developer
567,graduated,,Yes,$0,"$40,000","$40,000","$40,000","$40,000","$40,000",None,None,,Male,Male,White,White,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,90-120 days,90-120 days,,developer,developer
570,graduated,,Yes,"$27,000",,,,,,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Software Engineer,Software Engineer
576,graduated,,Yes,$0,"$70,000","$70,000","$70,000","$70,000","$70,000",None,None,,Female,Female,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Master's degree,Master's degree,,0-30 days,0-30 days,,Developer,Developer
